name,latitude,longitude,size,color
Girardot / Santiago Villa,4.2833,-74.8,3.0,#702963
CANTAYUS,7.3769,-74.1215,0.04,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
RIO BOBO,3.8801,-77.0312,0.04,#556b2f
Buenaventura,3.85,-76.9667,3.0,#702963
AUTOG ARGOS SOGAMOSO,5.71,-72.9333,0.04,#556b2f
Tame / Tame,6.45,-71.75,3.0,#702963
LA NAVETA,10.9174,-74.7943,0.03,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
MERILECTRICA 1,3.4372,-76.5225,0.03,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
COCONUCO,2.3472,-76.5475,0.03,#556b2f
Popayan / Guillermo,2.4667,-76.6,3.0,#702963
PUENTE GUILLERMO,4.3,-74.8,0.03,#556b2f
Girardot / Santiago Villa,4.2833,-74.8,3.0,#702963
JUAN GARCIA,11.2404,-74.211,0.03,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
NUEVO LIBARE,10.9587,-74.8017,0.03,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
MIROLINDO,4.43,-75.21,0.03,#556b2f
Ibague / Perales,4.4333,-75.15,3.0,#702963
HIDROBARRANCAS,7.0653,-73.8547,0.03,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
PROENCA II,10.9878,-74.7889,0.03,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG CEMENTOS DEL NARE,4.7343,-74.2624,0.03,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
SAJANDI,4.710989,-74.072092,0.03,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
BARRANQUILLA 4,10.9825,-74.8077,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
VENTANA A,10.9685,-74.7813,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
LA CASCADA (ANTIOQUIA),6.5522,-75.8272,0.02,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
LAS PALMAS,10.9639,-74.7963,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
BARRANQUILLA 3,11.0041072,-74.8069813,0.02,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
IQUIRA I,2.8211,-75.817,0.02,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
CELSIA SOLAR BOLIVAR,10.4212,-75.2116,0.02,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
EL BOSQUE,4.711,-74.0721,0.02,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
CASCADA,4.711,-74.0721,0.02,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
RUMOR,7.11392,-73.1198,0.02,#556b2f
Bucaramanga / Palonegro,7.1,-73.2,3.0,#702963
AUTOG ECOPETROL ORITO,0.67861,-76.88222,0.02,#556b2f
Puerto Asis,0.5,-76.5,3.0,#702963
SUBA,4.60971,-74.08175,0.02,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
CARTAGENA 2,10.3997,-75.5144,0.02,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
CELSIA SOLAR ESPINAL,4.1492,-74.8829,0.02,#556b2f
Girardot / Santiago Villa,4.2833,-74.8,3.0,#702963
LA SIERPE,11.2408,-74.211,0.02,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
RIO SAPUYES,1.3081,-77.5321,0.02,#556b2f
Pasto / Antonio Narin,1.4167,-77.2667,3.0,#702963
PORCE III MENOR,6.2428,-75.5895,0.02,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
TERMOEMCALI CC,3.4516,-76.532,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
SAN CANCIO,4.60971,-74.08175,0.01,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
RIO CALI,3.451,-76.532,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
INGENIO SAN CARLOS 1,3.4516,-76.532,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
TERMOPIEDRAS,11.2408,-74.2,0.01,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
TERMOYOPAL 1,5.33775,-72.39586,0.01,#556b2f
Tame / Tame,6.45,-71.75,3.0,#702963
CELSIA SOLAR LA PAILA,3.8991,-76.3029,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
PATICO - LA CABRERA,11.2404,-74.2105,0.01,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
COELLO,4.3331,-74.9277,0.01,#556b2f
Girardot / Santiago Villa,4.2833,-74.8,3.0,#702963
RIO FRIO I,4.711,-74.0721,0.01,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TERMOVALLE CC,3.541667,-76.496667,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
CELSIA SOLAR CARMELO,4.68936,-77.82575,0.01,#556b2f
Buenaventura,3.85,-76.9667,3.0,#702963
RIO PALO,3.4206,-76.5222,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
URRAO,6.31563,-76.13496,0.01,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
POCUNE,3.9009,-76.3022,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
AGPE INGENIO DE OCCIDENTE,3.4516,-76.532,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
GRANJA SOLAR BELMONTE,10.46314,-73.25322,0.01,#556b2f
Valledupar / Alfonso Lopez,10.4333,-73.25,3.0,#702963
AUTOG ARGOS CARTAGENA,10.391048,-75.479426,0.01,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
CAMPESTRE (CALARCA),4.5361,-75.6435,0.01,#556b2f
Armenia / El Eden,4.5,-75.7167,3.0,#702963
CENTRAL CASTILLA 1,4.6533326,-74.083652,0.01,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
LA CASCADA ( ABEJORRAL),5.78928,-75.431669,0.01,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
LA REBUSCA,11.5596,-72.9168,0.01,#556b2f
Riohacha / Almirante Padilla,11.5333,-72.9333,3.0,#702963
SANTA RITA,6.243254,-75.573232,0.01,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
OVEJAS,9.5259,-75.2139,0.01,#556b2f
Corozal / Las Brujas,9.3333,-75.2833,3.0,#702963
AUTOG CELSIA SOLAR YUMBO,3.5413,-76.495,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
PLANTA SOLAR BAYUNCA I,10.2114,-75.4422,0.01,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
PASTALES,1.2089,-77.2772,0.01,#556b2f
Pasto / Antonio Narin,1.4167,-77.2667,3.0,#702963
REMEDIOS,6.9879,-74.5524,0.01,#556b2f
Otu / El Rhin,7.0,-74.7167,3.0,#702963
INGENIO LA CARMELITA,3.40621,-76.347578,0.01,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
RIO RECIO,5.070275,-75.5138166,0.01,#556b2f
Manizales / La Nubia,5.0333,-75.4667,3.0,#702963
VENTANA B,10.9685,-74.7813,0.01,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
BAYONA,5.5562023,-74.8908493,0.01,#556b2f
Mariquita / San Rafael,5.2167,-74.8833,3.0,#702963
GUACAICA,7.0845,-70.7595,0.0,#556b2f
Arauca / Santiago Perez,7.0667,-70.7333,3.0,#702963
MONDOMO,3.0186,-76.4383,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
CARTAGENA 1,10.419584,-75.5271224,0.0,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
AMALFI,6.9132,-75.0824,0.0,#556b2f
Otu / El Rhin,7.0,-74.7167,3.0,#702963
TERMOCENTRO CC,4.60971,-74.08175,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
AUTOG ARGOS TOLUVIEJO,9.523,-75.5842,0.0,#556b2f
Corozal / Las Brujas,9.3333,-75.2833,3.0,#702963
RIOFRIO (TAMESIS),5.6658,-75.7167,0.0,#556b2f
Rionegro / J. M. Cordova,6.1333,-75.4333,3.0,#702963
CURRUCUCUES,4.5709,-74.2973,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
AUTOG TERMOTAME,6.459009,-71.734363,0.0,#556b2f
Tame / Tame,6.45,-71.75,3.0,#702963
EL COCUYO,5.0373,-73.7824,0.0,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
SILVIA,2.6111,-76.3778,0.0,#556b2f
Popayan / Guillermo,2.4667,-76.6,3.0,#702963
RIO GRANDE,5.5567207,-74.9414105,0.0,#556b2f
Mariquita / San Rafael,5.2167,-74.8833,3.0,#702963
UNION,10.953,-74.7963,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
PCH LA LIBERTAD,5.589722,-73.814722,0.0,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
INZA,2.5417,-76.0612,0.0,#556b2f
Popayan / Guillermo,2.4667,-76.6,3.0,#702963
LA FRISOLERA,5.07657,-73.9481,0.0,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
AUTOG PTAR BELLO,6.3384,-75.5572,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
CAUYA,11.7758,-72.4446,0.0,#556b2f
Riohacha / Almirante Padilla,11.5333,-72.9333,3.0,#702963
AUTOG TURGAS,10.9184,-74.7646,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG COCA-COLA FEMSA,4.6482837,-74.2478917,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
ASNAZU,3.4516,-76.532,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
BELLO,6.338,-75.557,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
INGENIO PICHICHI 1,1.7985,-78.815,0.0,#556b2f
Tumaco / La Florida,1.8167,-78.75,3.0,#702963
SAN FRANCISCO (PUTUMAYO),1.171967,-76.882439,0.0,#556b2f
Pasto / Antonio Narin,1.4167,-77.2667,3.0,#702963
DOÑA JUANA,4.5981,-74.0758,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
MANANTIALES,10.9878,-74.7889,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG ARGOS YUMBO,3.5415,-76.4958,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
AUTOG YAGUARITO,10.39972,-75.51444,0.0,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
AUTOG INGENIO MARIA LUISA,3.5375,-76.2975,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
LA PITA,10.9639,-74.7963,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG CDS TM2500,10.9668,-74.7963,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
INGENIO MARIA LUISA,2.701667,-76.826667,0.0,#556b2f
Popayan / Guillermo,2.4667,-76.6,3.0,#702963
PAPELES NACIONALES,4.91857,-74.02799,0.0,#556b2f
Guaymaral / Quirotama,4.8123,-74.0649,3.0,#702963
AGPE ENTREPALMAS,4.711,-74.0721,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TEQUENDAMA BIOGAS,4.60971,-74.08175,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
AGPE - ECOPETROL LA HORMIGA,0.4396,-76.5113,0.0,#556b2f
Puerto Asis,0.5,-76.5,3.0,#702963
CAMPESTRE (EPM),6.09106,-75.63656,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AMERICA,10.9184,-74.7646,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
TERMOBOLIVAR 1,10.3997,-75.5144,0.0,#556b2f
Cartagena / Rafael Nunez,10.45,-75.5167,3.0,#702963
TEBSAB,10.9184,-74.7646,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
FLORES 4B,10.9639,-74.7963,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
FLORES 1,4.711,-74.0721,0.0,#556b2f
Bogota / Eldorado,4.7167,-74.15,3.0,#702963
TERMOVALLE 1,3.4516,-76.532,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
EL MORRO 1,7.0652801,-73.8547201,0.0,#556b2f
Barrancabermeja / Yariguies,7.0167,-73.8,3.0,#702963
CIMARRON,6.252,-75.5751,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
EL MORRO 2,11.2408,-74.211,0.0,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
COGENERADOR COLTEJER 1,6.2476,-75.5612,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AYURA,6.1846,-75.6088,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
AUTOG TERMOSURIA,2.934016,-75.28275,0.0,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
CARACOLI,6.412778,-74.771944,0.0,#556b2f
Otu / El Rhin,7.0,-74.7167,3.0,#702963
SANTA ANA,11.3833,-74.1667,0.0,#556b2f
Santa Marta / Simon Bolivar,11.1333,-74.2333,3.0,#702963
TERMOEMCALI 1,3.4517923,-76.5324943,0.0,#556b2f
Cali / Alfonso Bonillaaragon,3.55,-76.3833,3.0,#702963
AUTOG FERTICOL,10.9878,-74.7889,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG FAMILIA,10.9596,-74.7885,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
AUTOG UNIBOL,9.2368,-75.8134,0.0,#556b2f
Monteria / Los Garzones,8.8167,-75.85,3.0,#702963
PCH DE LA LIBERTAD,4.5499,-75.6608,0.0,#556b2f
Armenia / El Eden,4.5,-75.7167,3.0,#702963
SAN JOSE DE LA MONTAÑA,6.8478,-75.681128,0.0,#556b2f
Medellin / Olaya Herrera,6.2167,-75.6,3.0,#702963
JULIO BRAVO,10.9878,-74.7889,0.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
IQUIRA II,2.6389,-75.5289,0.0,#556b2f
Neiva / Benito Salas,2.9667,-75.3,3.0,#702963
Total SIN,10.9685,-74.7813,100.0,#556b2f
Barranquilla / Ernestocortissoz,10.8833,-74.7833,3.0,#702963
